iter	Passed	Remaining
420	2268	24672
421	2273	24659
422	2277	24644
423	2282	24636
424	2288	24630
425	2293	24623
426	2298	24617
427	2303	24611
428	2309	24610
429	2315	24607
430	2320	24603
431	2325	24589
432	2330	24580
433	2335	24574
434	2341	24570
435	2346	24566
436	2352	24562
437	2357	24553
438	2362	24548
439	2367	24535
440	2371	24521
441	2377	24517
442	2383	24513
443	2388	24509
444	2393	24496
445	2397	24483
446	2403	24478
447	2408	24471
448	2413	24462
449	2418	24456
450	2424	24450
451	2429	24446
452	2434	24438
453	2439	24432
454	2445	24425
455	2450	24423
456	2455	24412
457	2460	24399
458	2465	24392
459	2470	24381
460	2475	24375
461	2480	24367
462	2485	24360
463	2490	24348
464	2495	24341
465	2500	24332
466	2506	24327
467	2511	24322
468	2517	24319
469	2522	24314
470	2527	24307
471	2533	24302
472	2538	24299
473	2543	24288
474	2549	24284
475	2554	24278
476	2560	24281
477	2567	24285
478	2573	24290
479	2579	24293
480	2585	24288
481	2591	24288
482	2597	24288
483	2603	24288
484	2608	24282
485	2613	24276
486	2618	24269
487	2623	24257
488	2629	24254
489	2634	24246
490	2638	24234
491	2644	24231
492	2650	24229
493	2655	24224
494	2661	24220
495	2667	24219
496	2673	24220
497	2678	24216
498	2684	24213
499	2689	24209
500	2694	24199
501	2699	24189
502	2704	24183
503	2710	24177
504	2715	24171
505	2720	24162
506	2725	24156
507	2731	24149
508	2735	24136
509	2740	24129
510	2746	24122
511	2751	24117
512	2756	24112
513	2762	24106
514	2767	24100
515	2771	24088
516	2777	24080
517	2782	24074
518	2787	24068
519	2792	24057
520	2796	24043
521	2801	24033
522	2806	24026
523	2812	24023
524	2817	24014
525	2822	24004
526	2827	23998
527	2832	23990
528	2837	23983
529	2842	23975
530	2848	23972
531	2853	23968
532	2859	23961
533	2864	23953
534	2868	23942
535	2873	23933
536	2878	23921
537	2883	23917
538	2889	23911
539	2893	23898
540	2898	23891
541	2903	23884
542	2909	23878
543	2914	23869
544	2918	23857
545	2923	23850
546	2929	23844
547	2934	23838
548	2939	23830
549	2944	23825
550	2949	23818
551	2955	23813
552	2960	23807
553	2965	23800
554	2970	23794
555	2976	23787
556	2981	23780
557	2986	23776
558	2991	23764
559	2995	23752
560	3000	23745
561	3006	23738
562	3011	23731
563	3016	23722
564	3021	23719
565	3027	23713
566	3031	23701
567	3036	23694
568	3042	23690
569	3047	23684
570	3052	23678
571	3058	23673
572	3063	23666
573	3068	23661
574	3073	23653
575	3078	23641
576	3083	23637
577	3089	23633
578	3094	23630
579	3099	23619
580	3104	23613
581	3109	23601
582	3114	23594
583	3119	23591
584	3125	23591
585	3130	23581
586	3136	23578
587	3141	23573
588	3146	23566
589	3152	23561
590	3157	23555
591	3162	23544
592	3167	23537
593	3172	23534
594	3178	23528
595	3183	23524
596	3189	23519
597	3193	23509
598	3198	23503
599	3204	23498
600	3209	23492
601	3214	23486
602	3219	23479
603	3225	23475
604	3230	23467
605	3235	23463
606	3241	23457
607	3246	23453
608	3251	23443
609	3256	23438
610	3262	23433
611	3267	23427
612	3272	23420
613	3277	23414
614	3282	23403
615	3287	23397
616	3292	23390
617	3298	23387
618	3304	23384
619	3309	23378
620	3314	23371
621	3319	23365
622	3324	23359
623	3330	23354
624	3335	23349
625	3340	23340
626	3345	23334
627	3351	23330
628	3356	23324
629	3361	23319
630	3367	23314
631	3372	23308
632	3377	23298
633	3382	23293
634	3387	23282
635	3392	23276
636	3397	23270
637	3402	23264
638	3407	23258
639	3412	23250
640	3418	23246
641	3424	23247
642	3430	23243
643	3435	23236
644	3440	23229
645	3445	23219
646	3450	23213
647	3455	23209
648	3461	23204
649	3466	23198
650	3471	23192
651	3477	23187
652	3482	23183
653	3488	23180
654	3493	23175
655	3498	23169
656	3504	23164
657	3509	23157
658	3514	23153
659	3520	23147
660	3525	23142
661	3530	23132
662	3535	23124
663	3540	23119
664	3545	23114
665	3551	23108
666	3556	23105
667	3562	23102
668	3567	23096
669	3572	23090
670	3578	23084
671	3582	23074
672	3588	23069
673	3594	23067
674	3600	23067
675	3606	23068
676	3612	23068
677	3618	23068
678	3625	23070
679	3631	23073
680	3638	23075
681	3644	23074
682	3650	23071
683	3655	23068
684	3661	23066
685	3667	23064
686	3673	23062
687	3678	23057
688	3684	23051
689	3689	23045
690	3694	23040
691	3699	23033
692	3705	23027
693	3710	23019
694	3715	23013
