iter	MAPE	RMSE	R2	MAE
0	0.05576459302	0.942611049	0.05791977865	0.7420796776
1	0.05404185841	0.9148849225	0.1125257221	0.7191622549
2	0.05239691071	0.8884932278	0.1629891694	0.6973026597
3	0.05082665961	0.8630021457	0.2103282807	0.6764211921
4	0.04934004248	0.8388178393	0.2539668084	0.6566307653
5	0.04789110332	0.8152168922	0.2953569479	0.6373378703
6	0.04644682892	0.7928616672	0.3334731078	0.6180155787
7	0.04510886764	0.7711219045	0.3695234855	0.6002503618
8	0.04381594699	0.7504320401	0.4029020636	0.583032092
9	0.04254945351	0.7306950224	0.4338974234	0.566119118
10	0.04136314176	0.7115189324	0.4632207061	0.5503421371
11	0.04024780888	0.6931114882	0.4906350841	0.5355104722
12	0.0390992483	0.6754900082	0.5162057611	0.5202505458
13	0.03804745384	0.6585687085	0.5401406543	0.5062562517
14	0.037073762	0.6423590104	0.5624995798	0.4933445447
15	0.0360896206	0.6268733597	0.5833393743	0.4802623704
16	0.0351828174	0.6123143948	0.6024682941	0.468205013
17	0.0343141599	0.5981356417	0.620665627	0.4566393091
18	0.03350259893	0.5847706318	0.6374282684	0.445829612
19	0.03266760872	0.5714460611	0.6537631239	0.4346881212
20	0.03190325998	0.5590312539	0.6686438685	0.4245674316
21	0.03116116643	0.5472917722	0.6824144952	0.414691034
22	0.03041460107	0.5359571431	0.6954329193	0.4047805047
23	0.02972721826	0.5251534508	0.7075879396	0.3956193602
24	0.029098187	0.5144189397	0.7194199853	0.3872565797
25	0.02846734195	0.5042971786	0.7303528027	0.3788409714
26	0.02788061127	0.4946485911	0.7405722753	0.3710183339
27	0.02728121444	0.4852531138	0.750333947	0.3630253991
28	0.02670710835	0.4763330268	0.759428474	0.3553755927
29	0.02621750509	0.4679045781	0.7678667121	0.3489006914
30	0.0257119073	0.4597446114	0.7758926352	0.3421754914
31	0.02521583036	0.4518062174	0.7835651259	0.3355390487
32	0.02477732524	0.4445237702	0.790486114	0.3297450287
33	0.02433935678	0.4376122122	0.7969506049	0.3238611885
34	0.02392071341	0.4307955859	0.8032270832	0.3182687024
35	0.02350777572	0.4243696901	0.8090535674	0.3127528705
36	0.02312074051	0.4183271207	0.8144525986	0.3075974309
37	0.02275935508	0.4124847172	0.8195991588	0.3028081322
